city,population,density (per sq. km)
Longton,308,101
Centennial,308,7
Lodge Pole,308,8
Rienzi,308,120
Lore City,308,362
Lisbon,308,68
New Athens,308,412
Maitland,308,380
Juliustown,308,99
Atalissa,308,854
Bath,308,326
Midland,308,341
Imperial,308,28
La Feria North,308,104
Cumberland City,307,23
Flat Rock,307,138
Eureka,307,49
New Douglas,307,113
Sherwood,307,118
Finlayson,307,42
Avant,307,345
Marshall,307,235
Port Clinton,307,155
Hartsburg,307,790
Rochester,307,346
Barton Hills,307,156
Reed Point,307,213
Lake Angelus,307,118
Manila,307,114
Rensselaer Falls,307,407
Jacumba,307,19
Plumwood,307,190
Cold Brook,306,269
Oxbow,306,77
Dakota,306,214
Prattsville,306,73
Oretta,306,53
Poynor,306,50
Gracemont,306,784
Hartland,306,437
Flemington,306,387
Elco,306,423
San Carlos II,306,1665
Hadar,305,297
Pukwana,305,154
Polk,305,240
Deseret,305,38
Bailey,305,296
Grahamtown,305,770
Arcadia,305,206
Lynnville,305,347
Endicott,305,397
Brule,305,381
Warren City,305,67
Bronson,305,263
Bliss,305,159
Prescott,305,293
Kendrick,305,327
Youngstown,305,1057
Greenleaf,305,260
Dannebrog,305,322
East Lynne,305,360
Grimes,305,52
Keams Canyon,305,7
Auburn,305,236
Ghent,305,165
Crows Landing,305,37
Belfry,305,70
Kampsville,304,115
Ruma,304,158
Rutland,304,169
Sandy Creek,304,93
Clifton,304,51
Plato,304,338
Weott,304,156
Granville,304,403
Coalmont,304,78
Belmont,304,11
Wallaceton,304,153
Hysham,304,536
Wilmot,304,698
Beaver Creek,304,180
Boston,304,356
Empire,304,437
Middletown,304,343
Montrose,304,310
Kensington,303,328
Alma,303,103
Disney,303,94
Keachi,303,23
Nordheim,303,235
Goose Creek,303,1892
Starks,303,34
Joppa,303,240
Tupelo,303,273
Butte,303,280
Freedom Plains,303,90
Kitzmiller,303,526
Dupont,303,128
Gerton,303,31
Richville,302,157
Clay Center,302,112
Cook,302,674
Velarde,302,45
Loraine,302,138
Southampton Meadows,302,407
Lester,302,63
Saginaw,302,141
Steamboat Rock,302,215
Butlertown,302,136
San Carlos I,302,877
Pisinemo,301,51
Gans,301,501
Arlington,301,308
Vicco,301,138
Cove Neck,301,90
Campbell,301,281
Salisbury Mills,301,233
Middle River,301,233
Mercer,301,316
McClure,301,76
Northport,301,205
Canalou,301,576
Blevins,301,116
New Falcon,301,592
Goldston,301,147
Farley,301,94
East Side,301,101
Indian Wells,301,11
Good Hope,300,62
Kelley,300,166
Lowry,300,252
Donaldson,300,196
Cedar Rock,300,99
Gary City,300,61
Eagleville,300,114
Springdale,300,102
Dodson,300,51
Ray,300,14
Poy Sippi,300,158
Skyline,300,597
Ovid,300,743
Tennyson,300,495
Herndon,300,135
Winter,300,146
Yaak,300,4
Richfield,300,211
Soldier Creek,300,9
Sunbury,300,47
Juda,300,454
Delaware Park,300,472
Mapleville,300,287
McCord Bend,299,393
Burnt Ranch,299,8
Gatesville,299,285
Hoskins,299,373
Uniopolis,299,434
Reynolds,299,148
Hosston,299,43
Hollandale,299,262
Amargosa,299,76
Lac La Belle,299,121
Weogufka,299,13
Moscow,299,670
Everton,299,334
Speculator,299,2
Elizabethtown,299,129
Hanalei,299,170
Roberts,299,29
Stapleton,299,460
Damon,299,82
Phillips,298,392
North Cleveland,298,60
Quechee,298,62
Hillcrest Heights,298,720
Millerton,298,134
Garland,298,211
Goldfield,298,77
Loganville,298,434
Magnetic Springs,298,497
Wheatley,298,37
Dungannon,298,322
Short,298,10
Breathedsville,298,309
Kellerton,297,173
Glenmont,297,416
Newsoms,297,229
Woodland,297,234
Doylestown,297,29
Bradfordsville,297,424
Edwardsport,297,411
Michiana Shores,297,329
Potsdam,297,257
Rhodes,297,113
Pymatuning South,297,44
Bombay Beach,297,121
Nakaibito,297,16
Boyne Falls,297,204
Pillow,297,232
Nehalem,297,427
Lower Elochoman,297,75
Grand View-on-Hudson,297,654
Rockholds,297,96
Hedgesville,297,872
Copeland,297,491
Missouri City,296,120
Ewing,296,113
Rattan,296,28
Spring Mill,296,2061
Paint Rock,296,69
Westport,296,25
Hindsboro,296,424
South Komelik,296,29
Seatonville,296,235
Haworth,296,71
Preston-Potter Hollow,296,11
Eau Claire,296,89
Vesta,296,286
Grier City,296,319
Loma Linda East,296,22
Greeley,296,332
Ramer,296,74
Sandy Hollow-Escondidas,296,14
Wilton,296,43
North Light Plant,296,162
Tunnelton,295,340
Martinsburg,295,426
Carolina,295,102
Maxwell,295,334
Carthage,295,115
Natoma,295,269
Mine La Motte,295,34
Butler,295,111
Suissevale,295,97
Hanna,295,116
Beclabito,295,15
Friendship,294,63
Wakonda,294,294
Nerstrand,294,80
Little Mountain,294,78
Nadine,294,9
Daisytown,294,482
Templeton,294,245
Goldsmith,294,350
Prichard,294,102
Durbin,294,198
Clinchco,294,40
Olmsted,294,33
Coffee City,293,58
Mays Lick,293,177
Pitts,293,141
Glendale,293,532
Sutcliffe,293,11
Fire Island,293,12
Parrottsville,293,152
Liscomb,293,115
Callao,293,218
Cameron,293,407
Oakdale,293,146
Oakdale,293,217
Lupton,293,35
Franklin,293,204
Abeytas,293,91
Witmer,293,91
Casar,293,64
Brocton,293,197
Turkey,293,285
North Loup,293,276
Goofy Ridge,293,83
Clifton,293,461
Oswego,292,93
Elk City,292,333
Orwin,292,183
Halfway,292,300
Glenvil,292,650
Americus,292,89
San Miguel,292,19
Sierra Brooks,292,82
Silex,292,583
Potter,292,78
Quimby,292,277
Bazine,292,250
Bloomfield,292,13
Brewster,292,436
Chaseburg,292,133
Benton Ridge,292,328
Lebanon,292,36
Lost Bridge Village,292,34
Burton,292,95
Chickasaw,292,480
Post Lake,292,15
Tescott,291,291
West Okoboji,291,88
Woodstock,291,397
Parker,291,323
Kapalua,291,23
Goodyear Village,291,33
Norwood,291,27
Caryville,291,37
Nazareth,291,309
Freedom,291,326
Progreso Lakes,291,53
Waverly,291,420
Plummer,291,42
Medina,291,92
Odell,291,427
Ridgeway,291,231
Carbon Hill,291,277
La Sal,291,2
Whites Landing,291,383
Tarlton,290,291
Cuba,290,27
Eutawville,290,117
Vredenburgh,290,74
Bosworth,290,202
Bode,290,274
Madrid,290,64
Bertram,290,66
Lockridge,290,149
Kinloch,290,154
Iglesia Antigua,290,53
Tilden,290,321
Copake Falls,290,500
Bowler,290,107
Clark,290,191
Graham,290,64
Switz City,289,569
Hedley,289,156
Ingalls,289,439
Lytton,289,562
Red Rock,289,452
Summit,289,203
Roscoe,289,278
Omer,289,98
Westside,289,75
Bedford,289,86
Iron City,289,139
Magnolia,289,570
Opdyke,289,211
Conception,289,148
Alderson,289,202
Natural Bridge,289,79
Creekside,289,504
Foster Center,289,51
Snyder,289,229
Pulaski,289,217
Dexter,289,202
Snow Lake Shores,289,163
Scotia,289,321
Somerville,289,313
Rachel,289,326
Meadow Grove,289,365
Victoria,289,247
Keswick,289,33
Colony,289,49
Evergreen,288,108
Morristown,288,176
Davidson,288,231
Lyon,288,239
Annona,288,138
Long Pine,288,191
Finger,288,70
Meridian,288,160
Smithland,288,219
Silver City,288,184
Point Reyes Station,288,30
Cherokee Pass,288,53
Tetonia,288,195
Charlton,288,680
Persia,287,235
Hall Summit,287,66
Plumville,287,223
Nashua,287,157
Ridgeway,287,146
Marble Rock,287,133
Colburn,287,1159
Schlater,287,96
Chapman,287,248
Belleville,287,437
Millport,287,318
Hager City,287,57
Centertown,287,116
Easton,287,461
Pleasure Bend,287,26
Oak City,287,241
Wagon Mound,287,109
Old Monroe,287,451
Lindcove,287,162
Sims,286,632
Yankee Hill,286,38
East Cape Girardeau,286,56
Rembert,286,28
Newry,286,1125
Spartansburg,286,162
Bagley,286,357
Applewold,286,2351
Coalton,286,208
Piffard,286,118
Harrisburg,286,147
Charlo,286,55
Maplewood Park,286,139
Powers Lake,285,82
Nichols,285,124
Stonefort,285,75
Blakesburg,285,409
Custer,285,103
Garner,285,174
Jansen,285,93
Willisburg,285,160
Rentz,285,104
Alpena,285,67
Davis,285,50
Granada,285,189
Ross,284,62
Manns Choice,284,219
Lumber City,284,577
Seminary,284,72
Enon Valley,284,224
Pine Ridge,284,84
Jugtown,284,328
Encinal,284,8
Larwill,284,610
Pajaro Dunes,284,42
Clayville,284,63
Cecil,283,114
Wyatt,283,93
Rockland,283,389
Hodges,283,26
Dunfermline,283,740
Carytown,283,7
Davenport,283,167
Deferiet,283,161
Loma Vista,283,8293
New Trenton,283,247
Compton,283,693
Rock City,283,814
Monson,283,218
Malone,283,239
Callaghan,283,72
Oaks,283,134
Potlicker Flats,283,637
Tynan,283,31
Lancaster,283,548
Delta,282,13
Red Cliff,282,463
Cranfills Gap,282,150
Rewey,282,214
Payne Gap,282,47
Canby,282,47
Vandalia,282,110
Poyen,282,355
Ellenton,282,137
Rayville,282,331
Broeck Pointe,282,1523
Osgood,282,319
Albright,282,469
Kylertown,282,63
Harpers Ferry,282,203
Monroe,282,626
Eugenio Saenz,282,3751
Kingston Mines,282,75
Bear Dance,282,39
Rader Creek,282,5
Perry,281,154
Vergennes,281,308
Markleysburg,281,361
Hendrum,281,334
Westwood,281,172
Lawrence,281,261
Shiloh,281,63
Pollocksville,281,350
Neilton,281,11
Merino,281,715
Westville,281,15
Grand Beach,281,119
Seltzer,281,1549
Fruithurst,280,108
Prairie Home,280,278
Whatley,280,83
Dixie,280,148
Cave-In-Rock,280,289
Beaver Creek,280,204
Ephraim,280,28
Sherrodsville,280,342
Almira,280,210
Waukeenah,280,34
Rushville,280,545
Strawberry,280,46
West Harrison,280,489
Boligee,280,27
River Bottom,280,11
Kimballton,280,140
Colome,280,378
Empire,280,359
Railroad,280,169
Ebro,280,22
Lenapah,280,281
Hawkins,280,49
Trenton,280,476
New Hampshire,280,177
Finesville,280,332
De Soto,279,88
Cairo,279,353
Gonvick,279,82
West Peavine,279,13
Rowesville,279,129
Lakota,279,148
Bowlus,279,84
Airport Road Addition,279,50
Luana,279,102
Yankee Hill,279,17
Covington,279,131
Tehuacana,279,68
Manderson-White Horse Creek,279,18
East Laurinburg,279,568
Freeman Spur,279,269
Riverton,279,181
Wedgewood,279,172
Sautee-Nacoochee,279,29
Casstown,278,1105
Talala,278,237
Harcourt,278,106
Buckingham,278,427
Pacific Beach,278,88
Simms,278,7
Dorrington,278,29
Waiohinu,278,78
Biggsville,278,318
Lacassine,278,61
Kaycee,278,244
Dalton,278,312
Damascus,278,134
Burlington,278,141
Hartleton,278,118
La Carla,278,1498
Cuylerville,278,254
Anthoston,278,166
Gordonville,278,19
Quantico,278,56
Beatrice,278,79
Goodnews Bay,277,32
Hickory,277,120
Climax Springs,277,132
Coleman,277,27
Nicut,277,6
Staples,277,71
Royal,277,606
Saline,277,89
Siloam,277,88
Keyes,277,285
Altamont,277,510
Reserve,277,191
Hanley Falls,277,428
Holland,277,423
Sparta,277,17
Lake George,277,23
Leach,277,18
Laketown,276,42
Le Raysville,276,102
Oakford,276,428
Armstrong,276,129
Buckman,276,105
Malverne Park Oaks,276,819
Chula Vista,276,582
Stockport,276,103
Utica,276,107
Crosby,276,50
Ridgeland,276,231
Redvale,276,22
Sebastopol,276,68
Depauville,276,10
Cyrus,276,397
Arrowsmith,276,539
Olde West Chester,276,298
Kilbourne,276,119
Browntown,276,101
Lamoille,276,57
Albion,276,226
Matheny,276,30
Seldovia,275,274
Stratton,275,197
Yarrowsburg,275,467
Whiterocks,275,45
Ionia,275,188
East Hodge,275,453
Double Spring,275,12
Timberon,275,5
Shirley,275,44
Hollandale,275,156
Cape May Point,275,359
Calvin,275,218
White Oak,275,229
Washingtonville,275,1950
Lodgepole,275,222
Chesterhill,275,196
Madaket,274,53
Ladora,274,359
Dexter,274,381
Annex,274,43
Freeborn,274,577
Bishop,274,135
Panama,274,372
Marquez,274,80
Cromwell,274,97
Oakley,274,102
Reeltown,274,14
Donovan,274,322
St. Francisville,274,56
Humnoke,274,336
Numidia,274,100
Star Junction,274,94
Weston,274,249
Oil Trough,274,462
Everest,274,425
Haugen,274,209
Loma Grande,274,1552
Crown,274,41
Fall River Mills,274,40
Richland,273,69
Catawba,273,456
Portage,273,41
Cainsville,273,76
Egan,273,98
Rippey,273,125
Bonesteel,273,298
Sky Valley,273,34
Gackle,273,195
Mitchell Heights,273,313
Riverside,273,118
North Acomita Village,273,36
Byars,273,68
Centerview,273,538
Lerna,273,916
Burkettsville,273,600
East Nicolaus,273,23
Elizabethtown,273,149
Scott,273,129
New Deal,273,55
Navajo Mountain,273,3
Hunker,272,414
Davenport,272,393
Stickney,272,391
McEwensville,272,897
Pryorsburg,272,84
Silver Creek,272,70
Malcom,272,171
Riverbend,272,26
Carbon,272,102
Waldo,272,37
Bowles,272,275
Cary,272,148
Horseshoe Lake,272,685
Monterey Park Tract,272,2222
Toms Brook,272,832
Bayside,272,62
Spring Creek,272,10
Delight,271,232
Newport Center,271,548
Allenwood,271,178
Herman,271,731
Leland,271,78
Bradshaw,271,135
Pamelia Center,271,100
Kenton,271,593
Emigrant,271,9
St. Thomas,271,106
Grand Junction,271,88
Zaleski,271,237
Maurice,271,173
New Hampton,271,190
Lake Ann,271,232
Rollinsville,271,74
Alberta,270,48
Stonewall,270,61
Ardentown,270,472
Rowley,270,268
Glen Echo,270,1016
Blue Mound,270,163
Deep River,270,245
Searles,270,238
Arcadia,270,68
Castalia,270,138
Protivin,270,229
Falcon,270,75
Howe,270,58
St. Charles,269,104
Elliott,269,208
Boykin,269,39
Hays,269,464
Grays River,269,5
Wildwood,269,1397
Rockville,269,12
Thompson,269,202
Bartley,269,110
Narrowsburg,269,76
Lyons Switch,269,12
Carson,269,26
Mapleton,269,113
Manchester,269,97
Athens,269,29
Bruning,269,364
Homeland,269,244
Princeton,269,299
Winston,269,19
Golf,269,126
Conroy,268,135
Savage,268,144
Brodnax,268,146
Cedar Crest,268,475
Emery,268,84
Georgetown,268,153
Fidelity,268,107
Freedom,268,25
Prescott,268,363
Old Washington,268,154
New Holland,268,333
Lake Lorraine,268,92
Drake,268,52
Paxtonville,268,118
Farmersburg,268,257
Bradshaw,268,311
Iliff,268,541
Hazleton,268,298
Interlochen,268,83
Michigan City,268,205
Fowlerton,268,47
Westfir,267,327
Bush,267,226
Garden City,267,913
Jemez Springs,267,21
Oakhurst,267,66
Lewistown,267,134
Newcastle,267,25
Anderson,267,79
Augusta,267,117
Palco,267,384
Roseland,267,373
Smartsville,267,143
Kelliher,267,46
Theodosia,267,75
Sumner,267,187
Bellmont,267,317
Milton,266,266
Hallam,266,477
Island Park,266,16
Milligan,266,406
Parker,266,365
Sobieski,266,81
Sawyerville,266,103
Mentasta Lake,266,0
Wingate,266,496
Jennings,266,135
Kiron,266,492
Tajique,266,37
Lewistown Heights,266,43
Auburntown,266,180
Conetoe,266,285
Hiddenite,266,64
Allerton,266,151
Sylvan Grove,266,266
Crayne,266,92
Pajarito Mesa,266,8
Navajo Dam,266,57
Ragsdale,265,45
Fairfield,265,14
Gumbranch,265,126
Groveland Station,265,174
County Line,265,105
Gentryville,265,259
Crawfordsville,265,278
Longdale,265,382
Flatwoods,265,156
Lead Hill,265,160
Henry,265,70
Rockport,265,147
Big Spring,265,30
Tower City,265,49
Vienna,265,134
Woodbury,264,798
Gladstone,264,283
Bonnieville,264,185
James City,264,147
Uniontown,264,483
Courtland,264,379
Wadsworth,264,199
Miamiville,264,301
Lynn,264,44
East Springfield,264,248
Modale,264,97
Days Creek,264,43
Parnell,264,574
Milledgeville,264,63
Shungnak,264,12
Chancellor,264,459
St. Hilaire,264,130
Black Oak,264,243
Barry,264,231
Mount Clare,263,67
Toronto,263,279
Fayette,263,257
Blain,263,319
Dixie Inn,263,209
Defiance,263,257
Climax,263,108
Pulaski,263,127
Braden,263,27
Wheeling,263,316
Coulter,263,41
Sturgis,263,78
Jamestown,263,346
Murdock,263,163
Ashland,263,3
Quinwood,263,293
Stoney Point,263,4
Gifford,263,105
Cragsmoor,263,21
Greensboro Bend,263,45
Downing,263,34
Los Alvarez,263,1075
High Bridge,263,46
Newington,262,124
Langston,262,20
Worley,262,521
Brookside,262,213
Ambler,262,9
Lindsay,262,277
La Escondida,262,1740
Cove,262,6
Neosho Rapids,262,200
New Ringgold,262,126
Hundred,262,201
Hornsby,262,96
Renwick,262,100
Climax,262,126
Almyra,262,260
East Gillespie,262,317
Tiro,262,243
Garden,262,3
Maalaea,261,19
Knobel,261,239
Stantonville,261,89
Glencoe,261,152
Genoa,261,282
Los Altos,261,2649
Donnelsville,261,317
Walterhill,261,33
Vanduser,261,784
Longville,261,17
Milladore,261,100
Rodessa,261,82
Salton Sea Beach,261,334
Free Union,261,50
El Moro,261,9
Bayard,261,324
Westport,261,124
Donaldson,261,884
Schneider,260,128
Ransom,260,286
Berry,260,394
Carlton,260,99
Hillrose,260,532
Cornfields,260,259
Emmett,260,66
Chidester,260,18
Otis,260,320
McNabb,260,565
Shiloh,260,10
Melrose,260,117
Maquon,260,619
Richburg,260,114
Earl,260,116
Robertsville,260,322
Moran,260,236
Orrstown,260,1579
Walkerville,260,80
Prado Verde,259,769
Medicine Bow,259,28
Louin,259,16
Henderson,259,239
Linneus,259,93
Lake Tekakwitha,259,500
Dickens,259,104
Dwight,259,276
Mulhall,259,122
Sammons Point,259,54
Kingsville,259,338
Shaktoolik,259,93
Gulfcrest,259,66
Iroquois,259,161
Perrytown,259,71
White Oak,259,16
Brashear,259,285
East Point,259,104
Mallard,258,245
Brule,258,37
Alpine,258,94
Toccopola,258,11
Easton,258,686
Bovill,258,625
Eckley,258,210
Rowena,258,55
Temperanceville,258,29
Glenbrook,258,26
Dripping Springs,258,14
Snelling,258,24
Huslia,258,6
Wardensville,258,306
Itmann,258,100
Klagetoh,258,297
Repton,258,104
Willow Creek,258,36
Talmo,257,35
Dryville,257,71
Hendricks,257,290
Fayetteville,257,197
Lyman,257,54
Skidmore,257,300
Geneseo,257,169
Mingus,257,64
Dubberly,257,25
Floridatown,257,248
Indianola,257,255
Copake Hamlet,257,122
Corunna,256,553
Johnson,256,25
Walker,256,317
Halbur,256,506
Bay View,256,156
Plattville,256,43
Dedham,256,170
Cedar Point,256,96
Hewitt,256,47
Heath,256,111
Lucky,256,12
Chambers,256,97
Kensett,256,64
Matlacha Isles-Matlacha Shores,256,494
Witherbee,256,134
Waterloo,256,802
Parrott,256,29
Marietta,255,55
Greenhorn,255,14
Scranton,255,143
Plainville,255,419
Bushton,255,431
Arcadia,255,188
Sasser,255,126
Garvin,255,51
Goshen,255,38
Yorkville,255,75
Deloit,255,236
Clarksdale,255,304
Ponderosa,255,10
Kremlin,255,386
Fulton,255,601
Charleston Park,254,783
Valle,254,0
Rocheport,254,296
Diller,254,234
Freedom Acres,254,55
Corwith,254,66
Echo,254,96
Howell,254,2
Herminie,254,403
Albion,254,54
Morrison Crossroads,254,18
Glenwood,254,104
Sanford,254,23
Wolbach,254,142
Wellsville,254,682
La Motte,254,216
Davenport Center,254,31
Midville,254,49
Rock River,254,42
Trowbridge,254,14
Kaktovik,254,126
Prescott,254,88
Spring Branch,254,47
Gays,254,242
White Hills,254,1
Long,254,12
Alice Acres,254,16
Cairo,254,207
Dillon Beach,254,32
Tecolotito,254,136
Benjamin,254,93
Rufus,253,82
Buck Run,253,194
Greensburg,253,241
Waggoner,253,410
Amherst,253,447
Fowlerton,253,499
Parmele,253,82
Moscow,253,610
Winston,253,316
Linn Creek,253,75
Granville,253,307
Braggs,253,294
Wixon Valley,253,54
Villard,253,125
Goltry,253,260
Trinity Village,253,24
Jefferson,253,519
Soper,253,361
Fairview,253,80
Brookville,253,169
Sugar City,253,253
Table Rock,253,166
Tuleta,253,21
Centertown,253,105
Bakerhill,252,35
Malinta,252,126
Parkdale,252,95
Ironton,252,292
Carmine,252,59
Backus,252,156
Avoca,252,743
Sibley,252,202
Hunter,252,65
Hope,252,158
New Alexandria,252,265
Ivesdale,252,135
Delta,252,21
Alta Vista,252,129
Le Roy,252,99
Carter,251,208
Clifford,251,1096
Keo,251,19
Fresno,251,421
Fields Landing,251,350
Metaline Falls,251,486
Eagle Nest,251,22
Collinston,251,86
Utica,251,112
Dixon,251,776
Swall Meadows,251,21
Walcott,250,95
Highland,250,568
Tollette,250,100
Ten Sleep,250,533
Martelle,250,287
Castleford,250,1008
Boulder Flats,250,5
Platter,250,57
Bartow,250,85
Sheep Springs,250,16
Big Cabin,250,44
Santa Rita,250,30
New Suffolk,250,173
Delco,250,64
Redfield,250,61
Maywood,249,151
Litchfield,249,315
Mantoloking,249,248
Aniwa,249,45
Geraldine,249,167
Lula,249,230
Alvan,249,121
Bear Creek Village,249,49
Lu Verne,249,42
Chelsea,249,95
Jamestown,249,154
New Effington,249,368
Eitzen,249,157
Abercrombie,249,296
Port Hope,249,95
Venango,249,350
Dalton,249,406
Cheraw,249,533
Angie,249,62
Tanana,249,9
Lebanon,249,218
Cruzville,249,37
Lockbourne,249,122
Marble City,249,237
Brandonville,249,68
Three Rocks,249,128
Santa Cruz,249,151
Elcho,249,90
Fairview,248,265
Perry,248,82
Dillsboro,248,200
Ostrander,248,201
Wynnedale,248,600
Port William,248,823
Dover,248,221
Denning,248,88
Harrell,248,152
Harveyville,248,751
Elmer City,248,402
McFarland,248,539
Pope,248,66
Magnolia,248,306
Belcher,248,61
Atqasuk,248,2
Summerfield,248,257
Denton,248,63
Canada Creek Ranch,248,27
Perla,247,99
La Plant,247,10
Kennebec,247,111
Little Meadows,247,39
Luxemburg,247,201
Houston Lake,247,874
Murdock,247,738
Peoa,247,33
Cunningham,247,90
Decker,247,528
Vera,247,174
Cumberland,247,158
Cassel,247,47
Condon,247,4
Low Moor,247,205
Porcupine,247,472
Groveland,247,9
Galt,247,333
Irwin,247,38
Pinesburg,247,130
Mashantucket,247,37
Dendron,247,26
Lewisville,247,399
Gilmore,246,7
Chandler,246,120
Fulton,246,38
Silver City,246,436
Wellston,246,97
Two Strike,246,5
Widener,246,174
Streetman,246,67
Bonita,246,70
Yellow Pine,246,96
Pinedale,246,9
Forest City,246,97
Wortham,246,106
Cabery,246,276
Greencastle,246,212
Eugene,246,283
Jacob City,246,31
Nikolaevsk,246,2
Woodland,245,45
Breckenridge,245,6
Browning,245,180
Lyon Mountain,245,9
Frohna,245,104
Bryant,245,296
Waucoma,245,200
Ewing,245,377
Copper Center,245,7
Bluff,245,2
Swan Valley,245,8
Okreek,245,2
Eastport,245,47
Grainfield,244,203
Grafton,244,289
Baskin,244,70
Henderson,244,355
Saddlebrooke,244,13
Thawville,244,306
Sweet Water,244,40
Anamoose,244,151
Powellsville,244,264
Letona,244,242
Edgemont,244,177
Vandemere,244,61
Reeves,244,38
Torrey,244,56
Daggett,244,84
Noble,244,91
Harvey,244,139
White Signal,244,14
Elmira,244,177
Westbrook,244,223
Drowning Creek,244,106
Fallston,244,197
Pecktonville,244,160
Hiouchi,244,162
Mosquito Lake,244,1
Sandy Hook,244,67
Emerald Beach,244,131
Macedonia,243,397
Wall Lane,243,214
Nulato,243,2
Spickard,243,148
Richview,243,81
Millican,243,23
Willow Lake,243,251
Newtown,243,186
Humptulips,243,10
Montour,243,205
Lane,243,11
Oconee,243,72
Glen Ridge,243,548
Mulat,243,59
Klickitat,243,99
Union,243,451
Iaeger,242,117
Hinsdale,242,14
Higginsport,242,372
Dix,242,425
Modoc,242,23
Hayward,242,153
Hamilton,242,299
Willard,242,101
Castor,242,78
La Liga,242,3751
Anderson,242,182
Cisco,242,513
Poston,242,68
Greeley,242,251
Agency Village,242,16
Paisley,242,217
Old Fort,242,161
Mullinville,241,145
Steward,241,345
Woodson,241,143
Bath,241,260
Agra,241,373
Vansant,241,30
Hilltop,241,74
Montpelier,241,49
Boynton,241,221
Boulder,241,4
Connorville,241,222
Madison,241,393
Talmage,241,567
Blue Springs,241,91
Slaughter Beach,241,65
Pemberton,241,495
Schuyler,241,60
Thorp,241,76
Keswick,241,214
Central Pacolet,241,372
Ames,241,312
Hickory Ridge,241,143
Greensboro,241,859
Pottersville,241,40
Pace,240,604
Boon,240,52
Pisgah,240,91
Sims,240,78
Wadena,240,125
Partridge,240,298
Monetta,240,125
Taylor Landing,240,88
Lansford,240,263
Young Place,240,54
Kappa,240,259
Gillsville,240,83
Menominee,240,48
Womelsdorf,240,223
Briarcliff,240,41
Grand Cane,240,81
Watha,240,67
Yale,239,337
Raiford,239,169
Zumbro Falls,239,162
Kingsbury,239,155
Homa Hills,239,10
Sweetwater,239,77
Nettle Lake,239,362
Hardinsburg,239,45
Crossnore,239,206
Leamington,239,60
Marquette,239,445
Fort Peck,239,103
Malta Bend,239,365
Schubert,239,155
Hopewell,239,811
Harmon,239,58
Union Dale,239,38
Ranchette Estates,239,153
Severn,239,91
Fontana,239,109
Winesburg,238,146
Troy Grove,238,133
Holstein,238,363
East Thermopolis,238,506
Schell City,238,147
Lexa,238,223
Meservey,238,60
Woodlawn,238,1563
Flintstone,238,220
Taft,238,58
Livonia Center,238,112
Addieville,238,92
Edesville,238,229
Hillsboro,238,255
Ebony,238,21
Morgan City,238,156
Bowers,238,151
Mountain,238,13
Country Acres,238,823
Ste. Marie,238,82
Potter,237,180
Meno,237,482
Prescott,237,228
Rosston,237,20
Blackburn,237,296
Milroy,237,350
Teller,237,61
Guinda,237,31
Bentonville,237,52
Peoria,237,192
North Sultan,237,157
Sandia Park,236,125
Constableville,236,81
Del Mar Heights,236,201
Saratoga,236,344
Brainards,236,495
Garland,236,103
Midway,236,57
Shady Dale,236,103
Waco,236,398
Berkey,236,21
Sandy Point,236,52
The Plains,236,330
Parc,236,74
Springview,236,137
New Riegel,236,454
Glenwood,236,474
Lexington,236,208
Michigamme,236,38
Peoria,236,6
Newtown,236,142
Bluebell,236,9
Lake Lillian,235,200
Upper Kalskag,235,25
Carl,235,83
Fredonia,235,548
Gorst,235,147
Bethune,235,560
Cashtown,235,60
Bronaugh,235,318
Little Creek,235,913
Cypress,235,120
Interlaken,235,406
Sanders,235,308
Williams,235,25
Peetz,235,406
Twin Lakes,235,33
Orient,235,593
Twin Lakes,235,66
New Harmony,234,149
Mount Eaton,234,531
North Bay,234,857
Radisson,234,229
Wolverine,234,91
Sandy Hook,234,418
Ryegate,234,119
Henning,234,59
Creswell,234,159
Liberty,234,189
Vallecito,234,10
Candelero Abajo,234,1480
Donnelly,234,32
Prompton,234,58
Bone Gap,234,154
Alsea,234,585
Galisteo,234,35
Kangley,233,344
Easton,233,152
Walton,233,250
Pachuta,233,36
Boones Mill,233,121
E. Lopez,233,4351
Fenton,233,261
Martinsburg,233,509
Kipton,233,204
Concord,233,31
Nason,233,98
Manor Creek,233,1628
Bison,233,339
Denton,233,126
Leavenworth,233,109
Oak Ridge,233,152
McCutchenville,233,32
Summer Shade,233,44
Mount Carmel,233,9
Rabbit Hash,233,17
Clyde,233,234
Aspers,233,171
Duane Lake,233,37
Bessemer Bend,232,56
Western,232,184
Crystal Lake,232,351
Woodland Hills,232,250
Applegate,232,89
Gilby,232,506
Pontiac,232,35
Orchard Hill,232,251
Cromwell,232,48
Venice,232,89
Stites,232,959
Bardolph,232,145
Chesterville,232,437
Coldiron,232,466
Springfield,232,66
Rogersville,232,220
Alto Bonito Heights,232,1740
Macdona,232,57
Basin,232,7
New Post,232,4
Jennings,232,267
Ackerly,232,288
Staplehurst,232,717
Lemon Cove,232,107
Bigelow,231,226
Warfield,231,108
Severy,231,182
Nixon,231,14
Kit Carson,231,152
Saxis,231,220
Pawnee Rock,231,316
Rico,231,131
Jerico Springs,231,130
Branch,231,12
Center Point,231,120
Tamaha,231,13
Madrid,231,78
Elm Grove,231,53
Laurel,231,355
Hobson,231,417
Roaring Springs,231,84
Callaway,230,140
Leonard,230,118
Vina,230,65
Pavillion,230,441
Crossgate,230,1732
Goldsboro,230,113
