city,population,density (per sq. km)
Arlington Heights,74760,1738
Bolingbrook,74545,1169
Rochester Hills,74516,877
Winchester,74417,1179
Framingham,74416,1147
Hilton Head Island,74139,372
Centreville,74125,2396
Union City,74107,1474
Owensboro,74068,1132
Jackson,74065,444
Cleveland,73596,648
Wausau,73593,774
Camden,73562,3184
Anniston,73501,179
Evanston,73473,3646
Apple Valley,73453,378
Mansfield,73326,583
Caguas,73322,2597
Schaumburg,72887,1457
Pocatello,72878,657
Woodbury,72828,805
Southfield,72689,1068
Ellicott City,72665,936
Dale City,72627,1969
Maple Grove,72622,860
Pittsburg,72588,1588
New Britain,72495,2095
Morgantown,72458,1181
Mansfield,72419,762
Hammond,72413,589
Dothan,72396,296
Harrisonburg,72386,1180
Wenatchee,72350,1312
Waukesha,72299,1093
Pawtucket,72117,3212
Redmond,71929,1676
Lauderhill,71868,3256
Sumter,71518,469
Redlands,71513,770
Daphne,71484,603
Mount Vernon,71422,1130
Weston,71166,1117
St. Charles,71028,1104
Janesville,70755,732
Sherman,70704,372
North Richland Hills,70670,1505
Broomfield,70465,824
El Paso de Robles,70248,632
Bristol,70243,318
Wilmington,70166,2484
Casas Adobes,70166,1016
Walnut Creek,70166,1371
Poinciana,69955,375
Lynwood,69887,5575
Glen Burnie,69872,1557
Lehi,69724,960
Passaic,69703,8590
Homestead,69523,1779
West Bend,69504,804
Delray Beach,69451,1685
Sheboygan,69393,1184
Lake Elsinore,69283,699
Daytona Beach,69186,406
Los Lunas,69020,331
Lima,68878,1045
Decatur,68867,388
Rocklin,68823,1341
Rogers,68669,685
Castle Rock,68484,771
Hanover,68165,1641
Bossier City,68159,605
Dubuque,68109,729
Rockville,68079,1933
Victoria,68078,694
Saratoga Springs,68028,388
Guaynabo,68024,2180
Gaithersburg,67985,2543
Union City,67982,20394
Ames,67910,935
West Des Moines,67899,556
South San Francisco,67789,2837
Yorba Linda,67644,1316
Casper,67598,843
Palatine,67482,1916
Corvallis,67467,1592
Ankeny,67355,862
Mount Vernon,67345,5930
Rowlett,67339,1244
Lakeville,67317,715
Alpharetta,67213,964
Longview,67081,1000
DeKalb,66959,1025
Petaluma,66929,1620
Redondo Beach,66749,4158
Tamarac,66721,2207
Laguna Niguel,66385,1738
Eagan,66372,821
Kenner,66340,1721
Bay City,66107,1242
North Little Rock,65903,486
Sammamish,65892,1245
Shawnee,65807,605
Jupiter,65791,1174
Doral,65741,1836
Florence-Graham,65716,7230
Carbondale,65671,556
Blaine,65607,769
Weirton,65578,390
Tulare,65496,1241
Wellington,65398,561
Pflugerville,65380,1013
Palo Alto,65364,1058
Schenectady,65273,2335
Great Falls,65131,982
Michigan City,65058,608
Bayonne,64897,4304
Eden Prairie,64893,770
Port Orange,64842,933
Dublin,64826,1643
Grand Forks,64748,784
Noblesville,64668,726
San Clemente,64558,1358
Brentwood,64474,1675
Carmichael,64454,1850
East Orange,64367,6327
Eastvale,64157,1954
Chapel Hill,64051,1148
Rocky Mount,64018,471
Haverhill,64014,748
Beloit,63762,822
Glens Falls,63499,1430
Brentwood,63399,2232
Fairbanks,63245,375
Springfield,63230,1541
Bethesda,63195,1839
Johnstown,63141,1257
Dundalk,63015,1861
Castro Valley,63013,1466
Coon Rapids,62998,1075
Elmira,62989,1440
Mankato,62889,868
Albany,62880,1218
North Miami,62822,2877
Encinitas,62709,1270
Skokie,62700,2405
Leander,62608,644
Parkersburg,62566,961
Waltham,62495,1893
Port Charlotte,62327,844
Palm Harbor,62310,1387
San Luis Obispo,62290,1374
