state,city,county,zipcode,latitude,longitude,major_airport,distance
NC,Foscoe,Watauga,28607,36.1535,-81.7736,"Tri Cities Regional Tn Va Airport",67.115
NC,Valle Crucis,Watauga,28679,36.2074,-81.786,"Tri Cities Regional Tn Va Airport",63.1226
NC,Walnut Creek,Wayne,27534,35.305,-77.8714,"Raleigh Durham International Airport",104.4773
NC,Pikeville,Wayne,27863,35.4971,-77.9879,"Raleigh Durham International Airport",83.6961
NC,Mount Olive,Wayne,28365,35.1997,-78.0662,"Raleigh Durham International Airport",99.7062
NC,Goldsboro,Wayne,27534,35.3778,-77.972,"Raleigh Durham International Airport",92.3096
NC,Mar-Mac,Wayne,28333,35.3345,-78.0545,"Raleigh Durham International Airport",89.6562
NC,Seven Springs,Wayne,28578,35.2248,-77.8452,"Raleigh Durham International Airport",111.9641
NC,Fremont,Wayne,27830,35.5436,-77.9751,"Raleigh Durham International Airport",82.2156
NC,Brogden,Wayne,28333,35.2961,-78.025,"Raleigh Durham International Airport",94.5252
NC,Eureka,Wayne,27830,35.5413,-77.8762,"Raleigh Durham International Airport",90.3787
NC,Elroy,Wayne,27534,35.3308,-77.9226,"Raleigh Durham International Airport",99.0501
NC,North Wilkesboro,Wilkes,28659,36.1728,-81.139,"Charlotte Douglas International Airport",108.0714
NC,Pleasant Hill,Wilkes,28621,36.258,-80.8904,"Piedmont Triad International Airport",87.3801
NC,Hays,Wilkes,28659,36.2469,-81.1142,"Piedmont Triad International Airport",106.9326
NC,Ronda,Wilkes,28670,36.2217,-80.9432,"Piedmont Triad International Airport",91.3499
NC,Mulberry,Wilkes,28659,36.2257,-81.1653,"Piedmont Triad International Airport",111.1547
NC,Millers Creek,Wilkes,28651,36.1909,-81.2356,"Tri Cities Regional Tn Va Airport",109.6229
NC,Moravian Falls,Wilkes,28697,36.1068,-81.1808,"Charlotte Douglas International Airport",101.5708
NC,Fairplains,Wilkes,28659,36.1954,-81.1559,"Piedmont Triad International Airport",109.9554
NC,Cricket,Wilkes,28659,36.1688,-81.1933,"Charlotte Douglas International Airport",108.5465
NC,Wilkesboro,Wilkes,28697,36.142,-81.173,"Charlotte Douglas International Airport",105.2574
NC,Wilson,Wilson,27896,35.7312,-77.9284,"Raleigh Durham International Airport",79.1661
NC,Saratoga,Wilson,27873,35.6537,-77.7753,"Raleigh Durham International Airport",94.658
NC,Sims,Wilson,27880,35.7598,-78.058,"Raleigh Durham International Airport",67.0666
NC,Lucama,Wilson,27851,35.6447,-78.0072,"Raleigh Durham International Airport",75.0181
NC,Black Creek,Wilson,27813,35.6366,-77.9331,"Raleigh Durham International Airport",81.6208
NC,Elm City,Wilson,27822,35.8087,-77.8622,"Raleigh Durham International Airport",83.7546
NC,Stantonsburg,Wilson,27883,35.6056,-77.8198,"Raleigh Durham International Airport",92.4254
NC,Boonville,Yadkin,27011,36.234,-80.7093,"Piedmont Triad International Airport",70.9368
NC,East Bend,Yadkin,27018,36.2178,-80.5085,"Piedmont Triad International Airport",52.9886
NC,Jonesville,Yadkin,28642,36.2336,-80.8351,"Piedmont Triad International Airport",81.9967
NC,Yadkinville,Yadkin,27055,36.131,-80.6588,"Piedmont Triad International Airport",64.9156
NC,Burnsville,Yancey,28714,35.9164,-82.2974,"Asheville Regional Airport",57.7794
ND,Bucyrus,Adams,58639,46.0648,-102.7885,"Billings Logan International Airport",445.823
ND,Reeder,Adams,58649,46.1059,-102.9422,"Billings Logan International Airport",434.1343
ND,Hettinger,Adams,58639,46.0034,-102.635,"Billings Logan International Airport",457.5393
ND,Haynes,Adams,58639,45.9739,-102.471,"Casper-Natrona County International Airport",465.403
ND,Oriska,Barnes,58063,46.9313,-97.7906,"Chisholm Hibbing Airport",377.7262
ND,Fingal,Barnes,58031,46.7625,-97.7932,"Chisholm Hibbing Airport",381.4707
