state,county,value_in_inches,rank,anomlay_1901_to_2000,mean_1901_to_2000
FL,Volusia,51.85,70,0.97,50.88
FL,Wakulla,56.92,63,-1.29,58.21
FL,Walton,72.36,105,12.28,60.08
FL,Washington,71.66,113,14.37,57.29
GA,Appling,53.17,98,5.23,47.94
GA,Atkinson,49.64,76,0.86,48.78
GA,Bacon,47.85,71,-0.36,48.21
GA,Baker,55.25,87,3.56,51.69
GA,Baldwin,64.7,122,18.36,46.34
GA,Banks,71.4,123,18.61,52.79
GA,Barrow,71.22,124,20.69,50.53
GA,Bartow,61.94,112,10.8,51.14
GA,Ben Hill,55.76,108,8.19,47.57
GA,Berrien,51.92,93,3.48,48.44
GA,Bibb,62.99,122,16.63,46.36
GA,Bleckley,68.93,123,22.02,46.91
GA,Brantley,57.74,102,7.85,49.89
GA,Brooks,54.99,87,3.06,51.93
GA,Bryan,57.32,107,8.42,48.9
GA,Bulloch,58.68,117,11.19,47.49
GA,Burke,62.06,120,16.67,45.39
GA,Butts,63.75,122,14.53,49.22
GA,Calhoun,61.3,109,9.43,51.87
GA,Camden,57.25,98,6.35,50.9
GA,Candler,59.53,116,12.62,46.91
GA,Carroll,75.13,125,21.78,53.35
GA,Catoosa,71.07,122,18.18,52.89
GA,Charlton,56.42,99,6.17,50.25
GA,Chatham,57.51,107,8.52,48.99
GA,Chattahoochee,71.29,125,22.67,48.62
GA,Chattooga,71.43,122,16.7,54.73
GA,Cherokee,67.36,116,13.91,53.45
GA,Clarke,67.61,123,17.86,49.75
GA,Clay,71.42,122,19.26,52.16
GA,Clayton,74.02,125,24.07,49.95
GA,Clinch,53.85,93,4.03,49.82
GA,Cobb,68.06,122,17,51.06
GA,Coffee,50.19,81,1.97,48.22
GA,Colquitt,54.14,95,3.92,50.22
GA,Columbia,62.64,122,16.71,45.93
GA,Cook,52.97,94,3.66,49.31
GA,Coweta,73.67,125,22.54,51.13
GA,Crawford,65.51,121,17.47,48.04
GA,Crisp,65.81,121,18.81,47
GA,Dade,73.58,123,19.52,54.06
GA,Dawson,80.85,124,21.63,59.22
GA,Decatur,55.54,79,1.96,53.58
GA,DeKalb,73.85,125,23.47,50.38
GA,Dodge,64.51,122,17.1,47.41
GA,Dooly,68.53,124,21.38,47.15
GA,Dougherty,59.68,113,10.29,49.39
GA,Douglas,72.76,125,20.96,51.8
GA,Early,63.24,109,10.22,53.02
GA,Echols,56.49,97,5.57,50.92
GA,Effingham,58.83,113,10.63,48.2
GA,Elbert,66.32,122,18.01,48.31
GA,Emanuel,61.36,118,15.04,46.32
GA,Evans,59.08,116,11.62,47.46
GA,Fannin,84.89,125,24.96,59.93
GA,Fayette,73.18,125,23.22,49.96
GA,Floyd,66.54,119,14.54,52
GA,Forsyth,74.89,124,21.44,53.45
GA,Franklin,64.79,118,14.59,50.2
GA,Fulton,73.25,125,22.44,50.81
GA,Gilmer,82.71,123,21.29,61.42
GA,Glascock,65.7,122,18.96,46.74
GA,Glynn,57.99,98,7.26,50.73
GA,Gordon,67.62,120,14.93,52.69
GA,Grady,52.91,63,-0.91,53.82
GA,Greene,64.32,122,16.5,47.82
GA,Gwinnett,73.04,125,21.9,51.14
GA,Habersham,84.95,124,21.45,63.5
GA,Hall,77.99,125,23.46,54.53
GA,Hancock,66.05,124,19,47.05
GA,Haralson,71.51,124,18.42,53.09
GA,Harris,73.88,124,22.61,51.27
GA,Hart,69.12,123,20.08,49.04
GA,Heard,73.31,124,20.49,52.82
GA,Henry,70.32,125,20.48,49.84
GA,Houston,69.48,124,22.43,47.05
GA,Irwin,53.48,101,5.87,47.61
GA,Jackson,71.18,124,20.74,50.44
GA,Jasper,59.77,117,10.91,48.86
GA,Jeff Davis,52.48,98,5.12,47.36
GA,Jefferson,65.02,122,18.9,46.12
GA,Jenkins,57.75,114,11.57,46.18
GA,Johnson,65.92,123,19.62,46.3
GA,Jones,61.52,121,14.58,46.94
GA,Lamar,68.1,123,18.33,49.77
GA,Lanier,52.26,90,2.66,49.6
GA,Laurens,65.45,123,18.8,46.65
GA,Lee,65.46,121,16.81,48.65
GA,Liberty,55.41,99,6.27,49.14
GA,Lincoln,63.09,119,16.08,47.01
GA,Long,55.69,99,6.79,48.9
GA,Lowndes,54.48,87,3.65,50.83
GA,Lumpkin,88.88,125,26.39,62.49
GA,McDuffie,62.86,122,16.02,46.84
GA,McIntosh,56.06,96,5.84,50.22
GA,Macon,68.97,123,20.91,48.06
GA,Madison,68.01,122,18.48,49.53
GA,Marion,69.88,125,20.47,49.41
GA,Meriwether,74.59,125,23.59,51
GA,Miller,57.78,93,4.58,53.2
GA,Mitchell,53.32,81,2.59,50.73
GA,Monroe,62.67,120,14.29,48.38
GA,Montgomery,61.42,121,14.97,46.45
GA,Morgan,62.54,119,13.6,48.94
GA,Murray,81.39,125,25.25,56.14
GA,Muscogee,72.55,124,23.01,49.54
GA,Newton,64.88,120,15.03,49.85
GA,Oconee,67.39,123,17.71,49.68
GA,Oglethorpe,65.28,121,16.77,48.51
GA,Paulding,64.09,117,12.76,51.33
GA,Peach,67.45,123,20.21,47.24
GA,Pickens,72.75,118,15.27,57.48
GA,Pierce,52.93,92,4.19,48.74
GA,Pike,73.1,125,22.96,50.14
GA,Polk,64.76,119,13.67,51.09
GA,Pulaski,68.6,123,21.74,46.86
GA,Putnam,59.66,120,12.16,47.5
GA,Quitman,74.42,125,23.85,50.57
GA,Rabun,94.34,124,25.17,69.17
GA,Randolph,69.04,120,17.95,51.09
GA,Richmond,64.44,123,19.6,44.84
GA,Rockdale,70.61,124,20.36,50.25
GA,Schley,69.88,124,20.88,49
GA,Screven,56.23,112,9.68,46.55
GA,Seminole,61.89,109,8.52,53.37
GA,Spalding,71.03,125,21.41,49.62
GA,Stephens,72.27,121,16.62,55.65
GA,Stewart,71.57,125,22.41,49.16
GA,Sumter,68.97,123,20.39,48.58
GA,Talbot,70.08,124,19.55,50.53
GA,Taliaferro,65.13,121,17.29,47.84
GA,Tattnall,59.24,116,11.79,47.45
GA,Taylor,67.22,122,18.05,49.17
GA,Telfair,57.59,113,10.22,47.37
GA,Terrell,66.64,120,16.56,50.08
GA,Thomas,54.03,79,0.97,53.06
GA,Tift,53.15,101,4.98,48.17
GA,Toombs,60.53,120,13.66,46.87
GA,Towns,86.33,124,23.55,62.78
GA,Treutlen,63.19,121,16.77,46.42
GA,Troup,73.16,125,21.51,51.65
GA,Turner,59.71,115,11.99,47.72
GA,Twiggs,67.78,123,21.25,46.53
GA,Union,86.99,125,26.23,60.76
GA,Upson,69.81,125,19.79,50.02
GA,Walker,67.77,119,14.02,53.75
GA,Walton,68.13,122,17.77,50.36
GA,Ware,52.02,86,2.89,49.13
GA,Warren,64.55,122,17.25,47.3
GA,Washington,67.26,125,21.02,46.24
GA,Wayne,56.35,100,6.94,49.41
GA,Webster,69.42,122,19.87,49.55
GA,Wheeler,60.45,119,13.78,46.67
GA,White,89.13,124,25.32,63.81
GA,Whitfield,73.84,125,20.29,53.55
GA,Wilcox,63.99,120,16.74,47.25
GA,Wilkes,64.53,120,16.68,47.85
GA,Wilkinson,67.07,123,20.86,46.21
GA,Worth,58.55,114,10.21,48.34
ID,Ada,12.14,56,-0.19,12.33
ID,Adams,27.68,28,-4.76,32.44
ID,Bannock,14.8,20,-4.71,19.51
ID,Bear Lake,19.24,44,-2.19,21.43
ID,Benewah,27.05,25,-4.28,31.33
ID,Bingham,12.25,46,-1.25,13.5
ID,Blaine,11.82,8,-6.99,18.81
ID,Boise,25.46,31,-5.08,30.54
ID,Bonner,34.6,47,-1.28,35.88
ID,Bonneville,19.96,57,-0.38,20.34
ID,Boundary,36.25,49,-1.77,38.02
ID,Butte,8.44,10,-5.15,13.59
ID,Camas,15.1,10,-9.29,24.39
ID,Canyon,10.06,73,0.51,9.55
ID,Caribou,19.81,40,-2.61,22.42
ID,Cassia,13.36,38,-2.15,15.51
ID,Clark,12.57,13,-4.54,17.11
ID,Clearwater,42.8,43,-3.95,46.75
ID,Custer,17.87,23,-4.7,22.57
ID,Elmore,15.78,26,-4.38,20.16
ID,Franklin,18.18,20,-4.87,23.05
ID,Fremont,18.39,30,-3.3,21.69
ID,Gem,17.59,48,-1.18,18.77
ID,Gooding,7.08,13,-4.1,11.18
ID,Idaho,37.41,59,-0.13,37.54
ID,Jefferson,7.89,33,-1.8,9.69
ID,Jerome,6.77,17,-2.95,9.72
ID,Kootenai,28.83,32,-3.45,32.28
ID,Latah,28.9,43,-1.66,30.56
ID,Lemhi,19.16,38,,21.16
ID,Lewis,25.73,69,0.27,25.46
ID,Lincoln,6.41,8,-4.11,10.52
ID,Madison,13.76,51,-1.09,14.85
ID,Minidoka,7.67,28,-2.06,9.73
ID,Nez Perce,23.17,82,1.21,21.96
ID,Oneida,13.16,15,-5.37,18.53
ID,Owyhee,10.95,39,-1.62,12.57
ID,Payette,12.2,56,-0.58,12.78
ID,Power,13.21,37,-2.69,15.9
ID,Shoshone,41.83,33,-5.63,47.46
ID,Teton,21.98,53,-0.77,22.75
ID,Twin Falls,9.25,16,-3.27,12.52
ID,Valley,29.96,29,-6.17,36.13
ID,Washington,18.67,46,-1.95,20.62
IL,Adams,37.1,64,0.33,36.77
IL,Alexander,55.61,107,10.45,45.16
IL,Bond,45.06,95,5.67,39.39
IL,Boone,37.12,78,3.07,34.05
IL,Brown,35.75,55,-0.97,36.72
IL,Bureau,36.53,73,1.48,35.05
IL,Calhoun,42.49,90,4.71,37.78
IL,Carroll,37.46,86,2.99,34.47
IL,Cass,36.37,65,0,36.37
IL,Champaign,39.75,88,3.21,36.54
IL,Christian,41.21,95,4.33,36.88
IL,Clark,47.6,107,7.87,39.73
IL,Clay,53.25,117,12.86,40.39
IL,Clinton,46.77,101,6.97,39.8
IL,Coles,47.08,112,8.77,38.31
IL,Cook,38.19,85,3.75,34.44
IL,Crawford,47.47,100,6.42,41.05
IL,Cumberland,48.55,110,9.02,39.53
IL,DeKalb,36.43,76,1.82,34.61
IL,De Witt,37.46,61,0.42,37.04
IL,Douglas,42.75,105,5.36,37.39
IL,DuPage,38.31,84,3.83,34.48
IL,Edgar,45.06,106,6.53,38.53
IL,Edwards,54.35,115,11.45,42.9
IL,Effingham,48.29,110,8.73,39.56
IL,Fayette,47.47,111,8.53,38.94
IL,Ford,37.38,78,1.65,35.73
IL,Franklin,50.48,102,8.24,42.24
IL,Fulton,32.59,37,-2.84,35.43
IL,Gallatin,58.21,119,13.41,44.8
IL,Greene,41.52,90,4.19,37.33
IL,Grundy,35.64,71,1.69,33.95
IL,Hamilton,53.92,113,11.25,42.67
IL,Hancock,33.35,42,-2.22,35.57
IL,Hardin,61.87,121,16.12,45.75
IL,Henderson,29.58,24,-5.62,35.2
