,,,,,,
,,,,,,
,,,,,,
Location ID,County,Value (Inches),Rank,Anomaly (1901-2000 base period),1901-2000 Mean,
GA-129,Gordon County,67.62,120,14.93,52.69,
GA-131,Grady County,52.91,63,-0.91,53.82,
GA-133,Greene County,64.32,122,16.5,47.82,
GA-135,Gwinnett County,73.04,125,21.9,51.14,
GA-137,Habersham County,84.95,124,21.45,63.5,
GA-139,Hall County,77.99,125,23.46,54.53,
GA-141,Hancock County,66.05,124,19.0,47.05,
GA-143,Haralson County,71.51,124,18.42,53.09,
GA-145,Harris County,73.88,124,22.61,51.27,
GA-147,Hart County,69.12,123,20.08,49.04,
GA-149,Heard County,73.31,124,20.49,52.82,
GA-151,Henry County,70.32,125,20.48,49.84,
GA-153,Houston County,69.48,124,22.43,47.05,
GA-155,Irwin County,53.48,101,5.87,47.61,
GA-157,Jackson County,71.18,124,20.74,50.44,
GA-159,Jasper County,59.77,117,10.91,48.86,
GA-161,Jeff Davis County,52.48,98,5.12,47.36,
GA-163,Jefferson County,65.02,122,18.9,46.12,
GA-165,Jenkins County,57.75,114,11.57,46.18,
GA-167,Johnson County,65.92,123,19.62,46.3,
GA-169,Jones County,61.52,121,14.58,46.94,
GA-171,Lamar County,68.1,123,18.33,49.77,
GA-173,Lanier County,52.26,90,2.66,49.6,
GA-175,Laurens County,65.45,123,18.8,46.65,
GA-177,Lee County,65.46,121,16.81,48.65,
GA-179,Liberty County,55.41,99,6.27,49.14,
GA-181,Lincoln County,63.09,119,16.08,47.01,
GA-183,Long County,55.69,99,6.79,48.9,
GA-185,Lowndes County,54.48,87,3.65,50.83,
GA-187,Lumpkin County,88.88,125,26.39,62.49,
GA-189,McDuffie County,62.86,122,16.02,46.84,
GA-191,McIntosh County,56.06,96,5.84,50.22,
GA-193,Macon County,68.97,123,20.91,48.06,
GA-195,Madison County,68.01,122,18.48,49.53,
GA-197,Marion County,69.88,125,20.47,49.41,
GA-199,Meriwether County,74.59,125,23.59,51,
GA-201,Miller County,57.78,93,4.58,53.2,
GA-205,Mitchell County,53.32,81,2.59,50.73,
GA-207,Monroe County,62.67,120,14.29,48.38,
GA-209,Montgomery County,61.42,121,14.97,46.45,
GA-211,Morgan County,62.54,119,13.6,48.94,
GA-213,Murray County,81.39,125,25.25,56.14,
GA-215,Muscogee County,72.55,124,23.01,49.54,
GA-217,Newton County,64.88,120,15.03,49.85,
GA-219,Oconee County,67.39,123,17.71,49.68,
GA-221,Oglethorpe County,65.28,121,16.77,48.51,
GA-223,Paulding County,64.09,117,12.76,51.33,
GA-225,Peach County,67.45,123,20.21,47.24,
GA-227,Pickens County,72.75,118,15.27,57.48,
GA-229,Pierce County,52.93,92,4.19,48.74,
GA-231,Pike County,73.1,125,22.96,50.14,
GA-233,Polk County,64.76,119,13.67,51.09,
GA-235,Pulaski County,68.6,123,21.74,46.86,
