zipcode,state,city,county,latitude,longitude,timezone,population_total,median_age,avg_rainfall,median_aqi,percentage_good_days,avg_temp_num,cost_rank,rent_index,restaurant_price_index,local_puchasing_power_index,lower_income_tax_rate,higher_income_tax_rate,sales_tax_rate,real_estate_tax_rate,annual_taxes_on_state_median_val_home,combined_upper_most_cap_gains,healthcare_rank,healthcare_cost_rank,distance_to_airport,distance_to_national_park
90262,CA,Lynwood,Los Angeles,33.924,-118.2017,America/Los_Angeles,0.00726,0.23233,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.97103,0.92532
91526,CA,Burbank,Los Angeles,34.1879,-118.3235,America/Los_Angeles,0.01906,0.46769,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.95594,0.95388
90233,CA,Culver City,Los Angeles,34.0058,-118.3968,America/Los_Angeles,6e-05,0.45108,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.9907,0.96719
90895,CA,Carson,Los Angeles,33.8374,-118.2559,America/Los_Angeles,0.01126,0.4126,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.97246,0.92213
90249,CA,Gardena,Los Angeles,33.8944,-118.3073,America/Los_Angeles,0.01161,0.44237,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.9848,0.93826
91724,CA,Covina,Los Angeles,34.0903,-117.8817,America/Los_Angeles,0.01029,0.38687,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.9596,0.87388
90255,CA,Huntington Park,Los Angeles,33.98,-118.2167,America/Los_Angeles,0.00831,0.25258,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.97269,0.93326
90312,CA,Inglewood,Los Angeles,33.9566,-118.3444,America/Los_Angeles,0.02803,0.35021,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.9924,0.95267
90280,CA,South Gate,Los Angeles,33.9448,-118.1926,America/Los_Angeles,0.01493,0.25663,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.96984,0.92588
90242,CA,Downey,Los Angeles,33.9379,-118.1312,America/Los_Angeles,0.02055,0.34778,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.96057,0.91445
91702,CA,Azusa,Los Angeles,34.1386,-117.9124,America/Los_Angeles,0.0044,0.28094,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.9531,0.87937
91778,CA,San Gabriel,Los Angeles,34.0948,-118.099,America/Los_Angeles,0.00461,0.49362,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.94816,0.91545
91749,CA,La Puente,Los Angeles,34.0323,-117.9533,America/Los_Angeles,0.02132,0.30727,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.94908,0.88673
91899,CA,Alhambra,Los Angeles,34.084,-118.1355,America/Los_Angeles,0.01154,0.46931,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.95387,0.9224
91745,CA,Hacienda Heights,Los Angeles,33.997,-117.9728,America/Los_Angeles,0.0017,0.47742,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.94529,0.88917
91226,CA,Glendale,Los Angeles,34.1818,-118.2468,America/Los_Angeles,0.04177,0.50192,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.95251,0.94062
90639,CA,La Mirada,Los Angeles,33.9025,-118.0093,America/Los_Angeles,0.0002,0.43691,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.9559,0.88973
91387,CA,Santa Clarita,Los Angeles,34.4175,-118.4964,America/Los_Angeles,0.00357,0.44501,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.91496,0.93196
90278,CA,Redondo Beach,Los Angeles,33.8574,-118.3766,America/Los_Angeles,0.00857,0.50071,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.98615,0.94107
90223,CA,Compton,Los Angeles,33.893,-118.2275,America/Los_Angeles,0.02745,0.23172,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.97365,0.92588
90703,CA,Cerritos,Los Angeles,33.8677,-118.0686,America/Los_Angeles,0.00014,0.57869,0.15727,0.83784,0.66667,0.61538,,,,,0.17241,1.0,1.0,0.21719,0.41556,1.0,0.34,0.18367,0.9561,0.89668
