zipcode,state,city,county,latitude,longitude,timezone,population_total,median_age,avg_rainfall,median_aqi,percentage_good_days,avg_temp_num,cost_rank,rent_index,restaurant_price_index,local_puchasing_power_index,lower_income_tax_rate,higher_income_tax_rate,sales_tax_rate,real_estate_tax_rate,annual_taxes_on_state_median_val_home,combined_upper_most_cap_gains,healthcare_rank,healthcare_cost_rank,distance_to_airport,distance_to_national_park
94578,CA,Castro Valley,Alameda,37.70910,-122.06310,America/Los_Angeles,61249,43.90,18.810,41,1,57.9,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,13.95530,222.53830
94557,CA,Hayward,Alameda,37.63280,-122.07720,America/Los_Angeles,192638,35.95,18.810,41,1,57.9,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,16.03120,224.70460
94551,CA,Livermore,Alameda,37.68620,-121.76080,America/Los_Angeles,91806,39.80,18.810,41,1,57.9,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,38.92030,196.33880
94579,CA,San Leandro,Alameda,37.70710,-122.16010,America/Los_Angeles,110527,39.27,18.810,41,1,57.9,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,5.58480,231.05640
94502,CA,Alameda,Alameda,37.76700,-122.26720,America/Los_Angeles,78372,44.25,18.810,41,1,57.9,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,6.50590,239.94920
94555,CA,Fremont,Alameda,37.52650,-121.98520,America/Los_Angeles,230928,38.85,18.810,41,1,57.9,15,74.04,84.16,121.55,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,18.88830,218.54850
95966,CA,Oroville,Butte,39.49990,-121.56340,America/Los_Angeles,52780,40.15,44.490,43,1,58.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,89.48800,144.31270
95976,CA,Chico,Butte,39.75750,-121.81520,America/Los_Angeles,113392,32.57,44.490,43,1,58.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,119.66850,116.34140
94526,CA,Danville,Contra Costa,37.81210,-121.96980,America/Los_Angeles,58496,45.95,18.540,40,1,58.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,24.27970,213.59550
94565,CA,Pittsburg,Contra Costa,38.01820,-121.89640,America/Los_Angeles,94858,33.20,18.540,40,1,58.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,43.60920,207.47890
94513,CA,Brentwood,Contra Costa,37.93550,-121.71910,America/Los_Angeles,67099,36.40,18.540,40,1,58.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,50.10390,191.50030
94553,CA,Martinez,Contra Costa,37.99850,-122.11600,America/Los_Angeles,50126,43.50,18.540,40,1,58.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,32.17230,226.55130
94850,CA,Richmond,Contra Costa,37.94770,-122.33900,America/Los_Angeles,89360,36.13,18.540,40,1,58.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,27.22410,245.87770
94527,CA,Concord,Contra Costa,37.97220,-122.00160,America/Los_Angeles,130398,39.55,18.540,40,1,58.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,33.90390,216.39940
94806,CA,San Pablo,Contra Costa,37.96280,-122.34250,America/Los_Angeles,62958,34.40,18.540,40,1,58.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,28.89550,246.22770
