ID,NAME,ST_ABBREV,TOTPOP_CY,MEDAGE_CY,MALES_CY,FEMALES_CY,MEDMAGE_CY,MEDFAGE_CY
63541,Glenwood,MO,359,47.2,175,184,48.3,46.1
64155,Kansas City,MO,25762,36.1,12607,13155,35.2,37
65759,Taneyville,MO,1377,42.2,652,725,43.4,41.2
64688,Wheeling,MO,499,40.9,179,320,44.8,39.7
64147,Kansas City,MO,659,18.6,270,389,13.7,21.1
65077,Steedman,MO,591,47.9,295,296,49.5,46.1
63660,Mineral Point,MO,4242,40.8,2442,1800,40.4,41.6
64689,Winston,MO,734,46.9,375,359,46.9,46.8
63746,Farrar,MO,38,47.5,22,16,55,40
63675,Vulcan,MO,199,47.3,98,101,45,49.6
64440,De Kalb,MO,741,42.6,374,367,43,42.1
63443,Hunnewell,MO,425,48.1,209,216,48,48.1
64641,Galt,MO,514,38.5,269,245,38.8,38.4
63952,Mill Spring,MO,664,45.1,329,335,45.7,44.4
63332,Augusta,MO,1497,49.6,752,745,49.5,49.9
64843,Goodman,MO,3677,37.1,1830,1847,37,37.1
64455,Graham,MO,388,46.1,202,186,45.4,47
65436,Beulah,MO,106,42.5,54,52,41.7,43.3
65287,Wooldridge,MO,458,48.3,237,221,45.8,50.3
65705,Marionville,MO,4235,45.1,2061,2174,42.2,47.6
63464,Plevna,MO,97,50.4,49,48,50.8,50
64459,Helena,MO,660,50.7,331,329,50.3,51
64763,Lowry City,MO,1364,50.5,688,676,48.8,52.4
65014,Bland,MO,2402,47.3,1215,1187,46,48.8
63379,Troy,MO,25080,36.4,12389,12691,35.5,37.3
65724,Pittsburg,MO,802,62.8,393,409,62.6,62.9
65672,Hollister,MO,7914,39.3,3870,4044,38.3,40.4
64648,Jamesport,MO,2089,36.6,1037,1052,36,37
63845,East Prairie,MO,5316,41.2,2557,2759,38.9,43.4
65675,Hurley,MO,23,41.3,12,11,40,42.5
64129,Kansas City,MO,8963,37.3,4336,4627,35.7,38.8
64167,Kansas City,MO,379,47.2,189,190,47.8,46.8
65626,Caulfield,MO,1668,45.9,851,817,45.7,46.2
63833,Catron,MO,232,46,120,112,44.3,47.9
64861,Rocky Comfort,MO,1401,40.5,729,672,39,42.1
65034,Fortuna,MO,671,36.1,334,337,36,36.2
64506,St. Joseph,MO,22724,40.5,11774,10950,37.6,45
64083,Raymore,MO,23292,39.1,11252,12040,37.6,40.4
64146,Kansas City,MO,1467,45.5,689,778,40.5,50.7
63537,Edina,MO,1868,44.2,890,978,42.3,45.7
65622,Buffalo,MO,8407,41.6,4078,4329,40,43.3
63942,Gatewood,MO,420,48.1,214,206,46.5,50
65616,Branson,MO,26574,41.3,12851,13723,39.7,42.8
64070,Lone Jack,MO,3666,44,1842,1824,43.7,44.3
64028,Farley,MO,131,49.4,68,63,49.3,49.6
64442,Eagleville,MO,888,45,456,432,44.8,45.2
65243,Clark,MO,3021,34.5,1573,1448,34.5,34.4
65202,Columbia,MO,50248,32.8,24600,25648,31.8,33.8
63107,St. Louis,MO,11393,36.7,5228,6165,34.7,38.2
65282,Santa Fe,MO,164,53.4,92,72,55.4,51.7
63827,Bragg City,MO,520,44,253,267,43.6,44.5
65613,Bolivar,MO,18030,36.1,8755,9275,34.2,38
65757,Strafford,MO,7384,43.2,3688,3696,42,44.4
63539,Ethel,MO,221,39.4,114,107,40.8,38.2
65803,Springfield,MO,43747,37.5,21555,22192,36.7,38.4
63556,Milan,MO,3435,38.1,1767,1668,36.7,39.7
64503,St. Joseph,MO,13153,37.7,6456,6697,36.3,39.1
65650,Flemington,MO,1061,51.8,537,524,50.3,53.2
65610,Billings,MO,5222,41.8,2577,2645,41.5,42.2
65039,Hartsburg,MO,2514,42.4,1243,1271,41.4,43.3
63363,New Florence,MO,1955,48.8,984,971,47.9,49.9
65662,Grovespring,MO,1347,45.3,664,683,45.5,44.9
63014,Berger,MO,1019,44.8,523,496,44.7,44.8
64130,Kansas City,MO,21662,40.1,9817,11845,37.8,42.2
65534,Laquey,MO,1081,36.4,529,552,36,36.8
65461,Duke,MO,219,43.1,107,112,41.3,45
63776,Mc Bride,MO,3,53.8,2,1,55,52.5
64152,Kansas City,MO,28358,40.1,13995,14363,39.3,40.8
64477,Plattsburg,MO,3455,46.4,1698,1757,45,47.6
